,company,number_reviews,search_city,star_rating,summary,title,website,how_paid,annual_salary,is_sponsored,time_since_posted,in_city,page
954,Amazon Corporate LLC,9937.0,"New Orleans, LA",3.6,"You will work directly with machine learning scientists to scale up collaborative filtering models on retail purchases, Prime Video views, Prime Music streams,...","Software Development Engineer, Big Data- Relocation Opportun...",http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D9Z_NigMRFBqnj4_9rPbMnaYMSgnKsRu0gcL5XJCnD3fAN5Vir87aLjFGm6jVWhz-COQGbBLyF0dO26wr3NLcMeCh8OtRHAp22zXHtmFmHdyLG3Ne0raMJHdCXzeknoPLTn0qvv0ZrY149Ze6YcMm8kEHKb-L0Sm3Rc8aCiUTn1McRZ-3AdCZ7xEFKrS_U3fUUMq9GFeVxUan9ar7ONdMDOr4593dHkuHlxBSWWqd_2Glr4_mQaYXrbxdVszQ6xeGoYCtwcZIF0tWsjuH9Gm5DMAvcnQOQMLZTZG29NDHjuAA4arqzNTTyzQAC6qTelyrJRaSNZ5TnRl0NyjMhUE5azHM7n6QTPEXW8QFz8xrouU7AxjySb0vsFmvYga4u0obk40ipL1eOkVrnrZP6Z8EUHbkyS71CbzS9Ki9QAOhQc0oUwiTzWA-FRadI7oXaD6G3PsbUk3GdyTyuhx6ilhjhiRhYpfS0k27Ev3-JCuKy9zF4J-UZOij5HmfLnawf_nES9PakNYStglBaOAtb0H1SVIdeXlBXRFKZ6QsYWy23FHM_O_jSI0cBbb9V3nPLWWZznIyHJ9hXuZzzj58oWeDoFAnHcHVQFiuOHEIz4IXCb63W47wmK_-rxD_tu-4av3FmLTbeipq7XmcH30dAZn3UZzqA4w1WQFkcqExMIAsSRF7PdbZEc-fb1fxlG_z9PbAx57V8cP5LoJkdCY_Phb90nSFin6tFIf6NS6_c_TMfmqP3XZUNy171vhmE_iclr9IHFrS1a43YRN9j7CZRmhxgoDuuTPyWKZut9JGu1fSCAK4q1fOdeVXwP3jCAsdmVWmfcg1TmejJzDs5SZVzex-QLmhrjf1u_VIyRmKS6aOiuKzd7vCwyOWRHb41ojYors9FvlaCPT6SsRC7wRZQ3rNzLk8jdbjURKQWbrjJ-V5H37O9LC4d0BH8&p=6&sk=&fvj=0,,,1,more than 30 days ago,0,4
955,Amazon Corporate LLC,9937.0,"New Orleans, LA",3.6,"In North America alone, we process 50B requests in under 30ms and evaluate our machine learned models to recommend the best response using our deep data....","Software Development Engineer, Big Data Analytics- Relocatio...",http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D9Z_NigMRFBqnj4_9rPbMnaYMSgnKsRu0gcL5XJCnD3fAN5Vir87aLjFGm6jVWhz8MJHqrmJZLvX0pMivppaoolF0MkRyqtq8STC4pagS2LxwpA-vfLI_s7gylsehb7_2ciMUsmc1nb4WtPoJKPBrADyVPjSqRq6XF_w32RzqYdI4Aj5XiFtNGK_Z8Q58GV3ywTlnbb32QDoWKLyjjygp0W1MpWyXpifTeEQroKUNKtL1yhP4lGSEqI03BZOL_AVugn2zAxLObB4Sv0AUGF8EUgPilBRfCwRIjlflV-MNQNMzKDYjpGZFJPmHTXS_-kExV2bZRSTjssbszIaYrXlzyaVG5iWUwx31uibQ9atr1bdWlacyGOM89f2BaH28ysS5q0COneK0zMfScSUw6gT2TwgidX90Itd6GmNxLnVXV1cDNSEk9sPfK6Ja5Vi-5I6HwSpIl2uXD_CdkEtkQWUNiKyvr0zTJZ0kPnL1rc6kvx94RlmFFyWJRsEuvaPu46_HROUZX_6sQdi8ZS9VE4PYMJK1_3IWmJrm1hsepmYNSlAv226e_vr18f2pUEOxwBTZDiR1Lvi6unBF01j3nhE9M7Xkf0J_Tw9Br9LnQnyIs6B2pp96PXlBxH0dkT_Ai2DNBqSdldQT62mH92WFdp8v05nVqBs7qm4VnFH4RwFfYKkbeFU5utflZbEzTzFKqvUkhRBTO_3lnZH7K19xhFonRugAt1E7loU2k44M-5HiSiydwosvqC2VIkzqR_7jlqZahVY1fu4sDMLlfOiIwllRokjpeuE0Xos4NCdoT5gggF_Awkqia5s4zQFhJq1rx7XUROH3JaSVAbX2SXZG5vI7jgYZyTsSaA9HmgHA2a6YU6ALl_2IDYHY7CfC838SocxfTkaRl4iLaBlVjzcYnrz7jJRqbguB9nBqzJgCv1GJKQhmx7j8_P9eUW0RYnCVz7Jw=&p=7&sk=&fvj=0,,,1,more than 30 days ago,0,4
956,Amazon Corporate LLC,9937.0,"New Orleans, LA",3.6,"Experience with machine learning, data mining, and/or statistical analysis tools such as R, Numpy and MATLAB/Octave....",Software Development Engineer - AWS & Machine Learning- Relo...,http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D9Z_NigMRFBqnj4_9rPbMnaYMSgnKsRu0gcL5XJCnD3fAN5Vir87aLjFGm6jVWhz-8n9Fp7as-9xgeDf6LVY7cGysTwmoMV8-26XPMoufbFt4hLIeSghI9Nxow_zK5wNqpQGn6mf-CHHHrhqKr_TCOwNVTXDH_O0mXL0ZNV02Ads7SA78ogIbsF1x9W0Ahs5qfg1N9pE201YCYv-B4PlQBuB5eNr3JoNVOQL5m44ynHm69L0OmrNfJ5dxl1taXVWgW99p9J6AkEsDFOp0-vWsRMBlUgh4ZDYpvb36C1LeVzUZrIgYKf97jFg2aUWmciehp7foXTzje7udl2pK5nsycdWIrLfB8pFJYb_Y_MR5jnhlbcyqSbIhKckG9La66qMLSFd1cu00N1U0QYbbjSLV3LmiIY5Rrmz-LC3nKk33EsB5M0VJiDhMt6VDxDsMLtUk6ojgg2jtqggSww46jCsoqsJL2SvB21i9K8gD8HXzKzU7BtcMzafJeZ1jwGeU5Q6kIwYjbhpPA-ETf2r6ilM-h8Athp9pKeU1QGzQx-EIt9JC8RHpSP7n39_-vP_aK7cvhNkIhbdVN5MsCxsKYG6aR9jNBCY75VRwWpO4_9sG1WHWmZUPyL5m4UdRL92_6Fb1xSONCQagYRZ-oRNfi_aFsl-W-ivoprnXEwqA2Un-rNvB2vxFmpQEuKZJh-FrPpF_0-OfYu0Z7vAlp6YU8C_W9Sg1rkrWis_zPXKS0ztPuCbp-OPPyb1-JjCaf8C0QuRhDdt7S_FWyBJeUtFHS8Q84Ikw5Slru0Yax_2KbEqrn8ngCjBdixqGsJU2_BmOVOvvDmBbPAUpm75GANnYJrV5kPGrEvzNxNxybbOT_fgmY90ZpKPLtH0R5t-5Y1mTe9BaHouEOX2YjmKZbxwuQFCkCgsV5Et9VXkX9dbdg2023cbvKwCG0FyVKjPUdSZ-Acis_zfKu3nlqPA==&p=8&sk=&fvj=0,,,1,25-30 days ago,0,4
957,Amazon Corporate LLC,9937.0,"New Orleans, LA",3.6,"As a Principal, you will provide leadership to other research scientists and define and enforce broad, company-wide technical standards in optimization...",Principal Data Scientist - Consumer Website- Relocation Oppo...,http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D9Z_NigMRFBqnj4_9rPbMnaYMSgnKsRu0gcL5XJCnD3fAN5Vir87aLXYB-MG5Ok4DEjq2Ys8ER0BzZm_OyWxoTNp6c3qVZP0ONvBeIWzP-9ow8QDKxjJbMyddWBdnkLshrd-91fsXEh8xV-yoVoYViiv_vwjyZ33g3B1krYB1Z0us8WpcCDoe3VNGgQSu05s5oZTpNKFX2RWsbyQ566hLJDke2ZQg1ML6UcjGMlI8o5-utVnX0F_LjUZ_NkVHKjR4dNqBxwc8JR9t92AVfnLChOXyA_pUEXyiV7wbhTREW3zxtPkUBGSw4FO0ikdyy7BLMy_8xnS2uLLU5ZYSV8D9iqWdtK-491G4OpnxdKurs__Yv6BST3FKvp5UAGZ2adzHec47G0_1KsOqfBkMK-N0qcVdUYqX19hrfuspQcZiK1rTpWT5QPlMSBYGXTw2urZyziELxFT7EreSvTY4FFExwEqckktP4TVPMScQCVYHZhTrkg-Nxx_Wp-3BjO7P8rXuRcwMBjDgWZ4dk7Tk2CHaQtLDFQ2LrOa7hD9krRL_Hdt45wPDE39vAFA6BQlQcZ5C8vHxhptuqn_MOElnYQIftnT014CHn9wKeRLd-xAcBZ4phEqDn7gD8td9ecD1-4aZzi6SPt-5YgTUUHf4aB3SbyyoVJ6XC4p0lfgBP2tS0EvZnMGDdyObcmMmnxTpcxfLaX-9LwhgFA8P4iWhFlGFGqx9_IdptUCTlDQKIUFycgrsoqzuQRXLgZsZ-mnCByo_QM4Slj7XwDWUocgF_n9TFuemysvqd64rdReWNh-nT3nx_UcCJe6YXxV4n4_sHe0S_rYlpjxj6bL6Us0eG_Oo1yYdQyiS0uuQWGjTaYB2hYX1syAudWBKXrLJuPtKmiP11aHNq4e7QiOBSqJXGpo4n0U_2Bhhx8hyks5N-EwUZ7FtFe7FXtiwz&p=9&sk=&fvj=0,,,1,more than 30 days ago,0,4
958,Amazon Corporate LLC,9937.0,"New Orleans, LA",3.6,"Experience with machine learning, data mining, and/or statistical analysis tools such as R, Numpy and MATLAB/Octave....",Software Development Engineer – Emerging AWS Machine Learnin...,http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D9Z_NigMRFBqnj4_9rPbMnaYMSgnKsRu0gcL5XJCnD3fAN5Vir87aLjFGm6jVWhz8cPX1aYVOg1vN4Nz96IzLgayQlukf88JszY0F5yv905IGIZ0CYHPLeUXKmqUtFdSEUCLyuSQRdzj5luwo1hPgCfvjOdeVYYoKCNKBBki1hVrNZNDIDeSGzygvzRYh588IcBU5qNnvYbYlPfDvtxs7uekKWYnascw2tbnFMUc_exw5X2WzksK1F1N1TP58D4Q0UZYMxGOIUpaXIdOKP3xqBK7ov8TLZXVxxQf9_IRNj8EvbyABq3iu9xMx7W6Sy2KCdDNQXzq8JR6MCGvkSP-4XGwMEfwh9bPxWCWzNUSdjKmGfPaD0M7tY2sfCR3gcLEMbyyniAYAUm1UA8yrbzHs90Kl0GwTQdLv6FhDvtAvqVOROXrsjkXpMeIy__u5GhgrwowzWKTj3cA3N3zUC_hn2N2LPjYZ2hoVh-L2DYJdFQnyFon-wRCY978_vUAX8IEqvAHEQX-gqrQl6f-qszWSDtbXUL1MEEcPuyV0cbwCDzTh3iZSeaK-_umjNEojt3hXHHHWO1lDKkiUGsADzgeIPreYUCRDEnqBtwVo_qTren441pdhUD01hZTDfjYsL3lf6YFrzJjQcmRDKm2Q1jzfpf_2Xcxy9NsnyQUpwK7rI0LGTx9uKAa4TX_ADCQD1UqwN8cr_sBBWKcUvJZGqBIoknwy0dRzsFslj_O5wQs3tKhmFBqkT9LTr1XVB8IzfVK7nWHg5jV30MQWAsE8kEoLmGjRpkw1uMVRt7b_HIhd3tUEBXAgiadKhuxZ_kbxJLW7c7x9mmE7kuT3cK3EUx6RgBdRzbhtL0jxN5_3YPWYxCeXSaGebW0LasCXTU_53zsoPdTXcudI6ob-BINY201HoGRIk1gW9P1_TxzfeM5l3nUN2nWH29XLurMVI5rLtieUBaPolugXTwSgUHbp9euZb_e72X3Q1Egs=&p=10&sk=&fvj=0,,,1,7-12 days ago,0,4
1093,Amazon Corporate LLC,9937.0,"New Orleans, LA",3.6,"As a member of the Digital Products Machine Learning Data Platform team, you will be responsible for leading the development and launch of core platform...",Software Development Engineer - Alexa Machine Learning- Relo...,http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D9Z_NigMRFBqnj4_9rPbMnaYMSgnKsRu0gcL5XJCnD3fAN5Vir87aLjFGm6jVWhz_4TugK5CeP5WMKDN2JpgFO88Ojh05kMGnMSaWR2dBmz5hOkpa7FcYvU9UDcWR_MPY0iI16D4GigKo0BCj_igu-VMat0Hb8IZ7sLufxQSQcKTZ3wZLGH8y40_Jsy2vH0ihutMci8dHKQ6baUCTUwPi_WjHrBggGTAGdOi67fAYr7YTZLuY-EH1DvGHppE3Tig4sDC8ez1oPCPdJRDsUmro8qLJNsut4MXGz-90adI_Z28FrdTr8-ct6F-DZs4rWMoKF68qxyRh3uOUTSLpnTV2UKTjd8lSexjCX2z4PkbwBXpJ6v45UOmUy-4ftjPLcln7Y0cFRRjFuGZOJTDFkweBhQJDlxno-e9A1f1MVgUiOuDwCVeunBExEDwx6uoN7zuM3BzC17wwR1HbOjXTLAvCYejtlcrVT31ojGtktj_wG4RQdy_eAhML8HKdOKP7fgkFHkHNaOtA22VxugWrs5HaK8O1F2vrtNJyHuAyLEkw4hIIuiTIgORZ5i19nGEOQCuMgUP4crL9MYlKT_-HDTrYcbZvY2SD6jJG0K0gKKPSfAEJuyCttlT0dtie3PFZxkAZTAtBwOAqrPX6PELVk-CXFgPjFzw8d1rS5FJBIs9unYPhcQhhudurNaGnB9IoCmeg2jThMOWlddAdFzkisgg11qBJ869Q17QrG_fK-DxqKajQOG5F4M8lfkuK7HTPjvEgR-zzA1uyEvKUawFL5iRrq81R8k-JNW3r1leTXLFi71GQz5QT_XKNYACTkRpPD8qe5mkHQaFf_DgELUQ-dizo0U_oHSVljPdvhbMRt7lzPEg2ZMhPWaaC6eqTT5PuenGzxeW2kMRQ5GSyzVTmLPJbW7q7fLVHGVhcnL-3vBMS8aiq151uGg7o0UixVt1caTr0=&p=11&sk=&fvj=0,,,1,more than 30 days ago,0,13
1195,Indeed Prime,,"Boston, MA",,"Expert in Python and core libraries used by data scientists (Numpy, Scipy, Pandas, Scikit-learn, Matplotlib/Seaborn, etc.)....",Data Scientist,http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DhVAxkc_TxySVbUOs6bxWYWOfhmDTNcVTjFFBAY1FXZ65kYHG3z5xpCS5yomokewgVBbt8PudPlicnoAVC_SZFg73_rAPu3UIb2nmDN7gh0g_TniqvXtRdECbOf4ozWYe8GRIp5g6JhEGiYWKg7BRCtxaxrrZYFgP-eQyD2gytFCWna1QiFYuqYvKOw5K-f-Em3ceTulw-nOv6QKgX0RZj6-xuttnrUCcHyEyYQMhTI4z2un7kukj_k1VvA7iwGvcp-Tgu2uAJbL4Q-7iub24mKL8NKbEYHNbiA4ezDIglY2bLrYQaiqhNj6b5DgH-BMzrrULt5JWKobI6gqwrejcsD02FHOSKpEMap_S-Mm5gwrdLkKykYmC_HvmbJf3Itex4bBZzbPr80PgfHszMHNM9lP9moMtIPuPM0Sxfh5zSwjyPOOENpgFf_8Z5moglPz6IcL3aXu8zsA==&p=1&sk=&fvj=1,,,1,19-24 days ago,1,1
1196,Predictive Science,,"Boston, MA",,This is a freelance data scientist position who will work with other senior data scientists to consult with executives and data scientists who are a part of the...,Data Scientist,http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bcgobz-t7weSGYTjoRWMIqcV9t0akB45B3k8NFJVZb5kkFpxn8bhfjltbVDjvx0bn0noTLqpSBW77839Ubfh4eL2ZvByfFlPegJkfgxbap4qbKzQXknClXAKQmaD18uRE6WyuXyxO_e8fzaqQSa7ZpgGjFAZwwHuishLBRAONcaQbHkOljqC3eQeJDMRkG0KH1MGXGhxZv9gv__gqsnl0DY7DNSgSIRmu6hb6q0haiR04Uth_R_zChp_WdlYQ9lJIv1w_EvymzHOozNEwn_tmmFA9cgJI0IbdTfhFMv4vWGXetn02hragjZ882c66U9rXH_QKbFwD78MiWui0QEAqkaL-zczOsJBTgbhqH11RKXcFEjxjfhHBRRwOlJXt5PlCTxiZvXlsZwhQReoOoym42Aso3Ui_JMk4=&p=2&sk=&fvj=0,,,1,7-12 days ago,0,1
1197,Rapid7,17.0,"Boston, MA",3.7,"BS or MS in Statistics, Mathematics, Machine Learning, Data Mining, Analytics, Data Science or other quantitative disciplines....",Data Scientist,http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D0En3ic_kGp9P9zzJnMlQNYCo1x7X2Bt-4UHDw7jAbTThPnPEAGd_JO9vbEl4tstTs-dpQ-nSR6hTilyNF-UBIlsxsKwbb0azaXRcZYfY9NKgIcZjMvGq7xPAReKuKqvwjyJZ5aZZ3BhSA2yQfSE73rYE3ISzDmQCR0SqMnRggVcuMKvoZyJ9z7-eWKMfuOwVMVEgdYDFgkm9DCVgnoOYCpNJnSKXXgvfyyZkrKsuvVfq0COaF6vjgh7l9Ax0iJ9BRauey5n5VFMPVXgMBgDuTuQ1s_v_U_1UwLA_Fn5m63dzSJhLJf7RYduCCetgGSTmL7rrBf4h31RJ3yNIHdGngd34woMzGoC4TMdYs291i-Q==&p=3&sk=&fvj=0,,,1,more than 30 days ago,0,1
1198,ThisWay,,"Boston, MA",,"You will take a leadership role in our algorithm team to develop machine learning and behavior matching with respect to jobs, culture, work environments and...",Machine Learning Algorithm Developer Engineer,http://www.indeed.com/rc/clk?jk=a7b9a3ae92cb2fd0&fccid=f44456a6041666ce,,,0,1-6 days ago,1,1
1199,"Truven Health Analytics, an IBM Company",,"Boston, MA",,"At least 5 years’ experience in applying advanced analytic methods to diverse large data sets to derive valuable insights, predictions and performance measures....",Data Scientist,"http://www.indeed.com/cmp/Truven-Health-Analytics,-an-IBM-Company/jobs/Data-Scientist-624cbe164b9aecd3?r=1&fccid=24717fa04ddaea5d",,,0,1-6 days ago,0,1
1200,"Rakuten, Inc.",,"Boston, MA",,"RIT-Boston is calling for machine learning research scientists. Research experience in machine learning (classification, regression, clustering, recommendation...",PhD Research Scientist- Machine Learning,http://www.indeed.com/rc/clk?jk=5f30454eae8a42bd&fccid=5e50810dc475b1eb,,,0,in the last day,1,1
1201,Bose,322.0,"Boston, MA",4.34999975,"We are seeking a highly motivated data scientist who can transform raw data into meaningful insights, providing actionable recommendations that influence our...",Data Scientist,http://www.indeed.com/rc/clk?jk=96ee8324d1984eb3&fccid=42f1e4ca72488e15,,,0,19-24 days ago,0,1
1202,Neurable,,"Boston, MA",,"You will be working with our machine learning team implementing, working on, and creating machine learning algorithms, specifically ones that improve speed,...",Data Scientist I working on Brain-Computer Interfaces,http://www.indeed.com/cmp/Neurable/jobs/Data-Scientist-Working-Brain-Computer-Interface-7c70d9cdc00c3ad8?r=1&fccid=017d2ceb9446e175,,,0,7-12 days ago,0,1
1203,Scalable Systems Inc,,"Boston, MA",,"I am urgently looking for a Data Scientist at Boston, MA. 732-659-0961 *Scalable Systems | Inspiring Innovation Big Data | Analytics | Integration |...",Data Scientist - S.mohanty@scalable-systems.com,http://www.indeed.com/cmp/scalable-systems/jobs/Data-Scientist-d8ed0aa611a75e92?r=1&fccid=83665f060ae5caa9,,,0,7-12 days ago,1,1
1204,Hopper,4.0,"Boston, MA",4.40000025,"Experience with data mining, machine learning, statistical modeling tools and underlying algorithms. Experience in Pandas, R, SAS or other tools appropriate for...",Data Scientist,http://www.indeed.com/rc/clk?jk=349882fce8422849&fccid=71eb96af97fae7e9,,,0,13-18 days ago,0,1
1205,BBCR Consulting,,"Boston, MA",,"Boston Biotech Clinical Research (BBCR) Consulting is a Cambridge-based strategic clinical innovation organization (SCIO) that offers simplified, customized...",Genetic Data Scientist,http://www.indeed.com/cmp/BBCR-Consulting/jobs/Genetic-Data-Scientist-3e2a24e3b68ab979?r=1&fccid=fe5f3b5d9090a402,,,0,7-12 days ago,0,1
1206,LIBERTY MUTUAL GROUP,1254.0,"Boston, MA",3.65,"Use statistical software such as R, SAS or Python, and techniques such as text mining, machine learning, parametric & semi-parametric modeling, to answer...",Data Science Graduate Level Internship,http://www.indeed.com/rc/clk?jk=1d247feb6e5e4473&fccid=bba15db4d8763697,,,0,7-12 days ago,1,1
1207,Tenizen,,"Boston, MA",,We count on Data Scientists to be the creative force behind new analytics projects - flexibly responding to analytics needs while coordinating with analytics...,Data Scientist,http://www.indeed.com/rc/clk?jk=a272eb5f1a0d7b19&fccid=a4c6faea6017923a,,,0,7-12 days ago,0,1
1208,State Street,868.0,"Boston, MA",3.5,Along with new datasets come new machine learning techniques to make use of these. Our information technology team is looking for a data scientist to support...,Data Scientist,http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DufbCI2HIYwgBtoz6kWO8JhBjFXIWlM4Ym8nprWE4oz47-KULISevlds9tLflMa5m62mS3sCk6vACk3l4Fz1K4R1Djy_88Mdwgr00f5JxNn-LajR6FvkVADPII7WsT82yZtV-YClvsfbCFPzWiWdqhta_-9mpijgDUQdlPoOFfX7IyZOoe95McLEhWGzoaUwuo8gdv-4NQXgsFlVBIEFEY7cjUqid_VfvvwwK4P7kPI1OCZk2k2aREzSUktbD8VEWZ7VvNxzZ4w7EqLKSB-4bJ2t-RFKckDR_9YPo0jgftO5YYfr7o9_rgvOT_w3EdqrH7UrdCUQW5RJfKU0szkc5FltWloCvoZvy4N8-vTRiO_vs0CLBGLDKZiKB6qfCIv11pp_2CjuDoW3pySAS7bcEa8LAnkEGl4uP0u5rlLrM9XIL6PFwZYtpBhHl3nkABHw-eNt0M7iwccaEechpm9PSkSx6ZyLB9J8uoopQMH4TR-Udy7u0UXO3Odw5cx2mTDIJUKY5NcwzVn8v13pqyw2x5EW-vmYHAhSzBwbGT2rlTU8Hn7ksOb3OMlZlLwhSDcB0SgXMRtj-Gmw==&p=4&sk=&fvj=0,,,1,19-24 days ago,1,1
